dialog,emotion
"['Should I ask Sara to the party', 'I would if I were you']","[0, 0]"
"['Can I borrow your suit', ""That's out of the question""]","[0, 0]"
"['Where are you from', ""I'm from Guangzhou"", 'Where in China is Guangzhou', ""It's in the South of China""]","[0, 0, 0, 0]"
"['The concert was really great', 'I agree', 'The singing group used to be very popular', ""I can't believe they would play so good""]","[4, 4, 4, 4]"
"['Is the Chinese team taking the lead', ""No , it's the Japanese team"", 'Japanese teams always play a dark horse', 'Well , their team work is well worth learning']","[0, 0, 0, 0]"
"['Do you mind if I ask your friend out', ""Of course , but we aren't going out , we're just friends"", ""Okay , that's good"", 'Do you want me to put in a good word for you']","[0, 0, 0, 0]"
"[""Harry is so down that he won't talk to anyone"", ""I know only too well what that's like"", 'What do you mean', 'I was very sad when I was laid off last year']","[0, 0, 0, 0]"
"[""When's your birthday"", ""It's just around the corner""]","[0, 0]"
"['Bob is getting on in years', ""Yeah , I'm very worried about his health"", 'He looks tired all the time', ""He's working too hard""]","[0, 0, 0, 0]"
"['Do you know where I can park', 'Do you need a spot here or off campus', 'I want a space on campus', ""There's a parking structure for students"", 'Where can I find it', ""Go to the western side of the campus , and you'll find it there"", 'Is it full', ""When I went up there , it wasn't full at all"", 'When was that', 'Sometime this morning', 'Would it be full now', 'I am really not sure']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[""Where's your better half"", ""She's at home""]","[0, 0]"
"['Well , it was nice meeting you', 'Yes , I hope we meet again', ""Sure , I'll give you a call"", 'Okay']","[4, 4, 4, 4]"
"['Did you get any rewards or honors in college', 'Yes , I received the scholarship 3 times on end', 'Did you join the Communist Party of China ( CPC )', 'Yes , I joined the CPC when I was a freshman']","[0, 4, 0, 0]"
"['I just had a terrible week', 'What a shame', 'I fell down and hurt my arm', ""That's too bad"", 'Then my son drove into a tree', ""I'm sorry to hear that"", 'The dog bit the delivery boy', 'What a pity', 'And a storm blew our roof away', 'Ho , no']","[5, 0, 5, 0, 0, 0, 0, 0, 0, 0]"
"['When do you go to bed usually', 'I go to bed at ten and get up at six', ""That's helpful for your health"", 'Sure']","[0, 0, 0, 0]"
"['Do you want to go to the beach tonight', 'Sure , which beach are we going to', 'I wanted to go to Malibu beach', 'I like Santa Monica', 'The water there looks so dirty', 'I just like the pier they have at Santa Monica', ""I like the pier too , because it's beautiful at night"", 'Is Malibu beach nice', ""It's a lot nicer , and I really like it better"", 'So you want to go to Malibu', ""If that's okay with you"", ""Sure , let's go to Malibu""]","[4, 4, 0, 0, 2, 0, 4, 0, 0, 4, 4, 4]"
"['Would you be willing to accompany me to the party tonight', ""Sure , I'd love to""]","[0, 4]"
"[""Dad , what's the date"", ""It's December eighteenth"", 'In seven days it will be Christmas Day', 'Yes , I know that', 'So , can I buy some new shoes as a Christmas present', 'Sure , a promise is a promise']","[0, 0, 0, 0, 4, 4]"
"['This man is your fiance , Dolly', 'Yeah , how do you like him', ""He's handsome"", 'Can you give me a touch of his character', ""He's outgoing and honest , but sometimes he's a bit conservative""]","[0, 0, 0, 0, 0]"
"['What was that all about', 'We had a difference of opinion', 'Is she going to be okay', ""She'll be fine""]","[0, 0, 0, 0]"
"['Is sailing fun', 'You bet']","[0, 4]"
"['Hi , Mary , long time no see', 'I heard through the grapevine that your getting married', 'Yes , next March', 'Congratulations , I hope everything works out']","[4, 4, 4, 4]"
"[""Jim and you are bosom friends , aren't you"", ""I wouldn't say so"", 'What do you mean', 'Well , I thought he was , but he ends up to be a con man']","[0, 0, 0, 0]"
"['What date is it today', 'Today is December 23,2002', 'Oh , the day after tomorrow is Christmas', 'Merry Christmas to you']","[0, 0, 0, 4]"
"['What day is it today', ""It's Friday""]","[0, 0]"
"['Are you new to this school', 'Yes , I ’ m new', 'Is this your first year in college', 'I transferred from another school', 'Where did you transfer from', 'I was at PCC before', 'Why did you transfer', 'I was going to go here first , but my grades weren ’ t good enough', 'Did you like it at PCC', 'PCC is an incredible school', 'Well , I wish you luck here', 'I ’ m sure I ’ ll like it here']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4]"
"['The tranquility of the night , the chirping of some insects , everything is so natural', 'I felt as if I had been in a different world', 'And I was overwhelmed by this scene , too']","[4, 4, 4]"
"['Why are you all dressed up', ""I've got a date""]","[0, 0]"
"['My girlfriend dumped me', ""Well , that's life""]","[5, 0]"
"[""Let's go in"", 'After you']","[0, 0]"
"['I think he deserved his gold', 'Did you see his last dive', ""Yes , it's perfect"", ""He's diving for the gold""]","[0, 0, 0, 0]"
"['Lodge , You must come around sometime , You have to check out my mew stereo', 'Sure , When is good time for you', 'Can you make it on Tuesday', 'What time do you want me there', 'Anytime after six will be fine', ""All right , It's a date""]","[0, 0, 0, 0, 0, 0]"
"['My friend Jean is very beautiful', ""What's her figure"", 'Perfect , and I like her charming eyes too', ""What's the color of her eyes"", 'Dark blue']","[4, 0, 4, 0, 0]"
"['What a great weekend that was', 'My feelings exactly', 'I really enjoy the beach in the summer', ""I couldn't agree with you more"", 'We should come here more often', 'You are absolutely right', ""I'd like to come back next weekend"", ""That's exactly the way I feel""]","[4, 4, 4, 4, 4, 4, 4, 4]"
"['How dare you accuse me of stealing your computer', ""I'm sorry , but you were the only one who had access to it""]","[1, 0]"
"['The flood will come on the heels of the heavy rain', 'I wonder if the municipal government will take some preventive measures', 'I ’ m sure they will']","[0, 0, 0]"
"[""I'm going to see the doctor this weekend"", ""What's your trouble"", 'I think I need a thorough check-up', 'I got it']","[0, 0, 0, 0]"
"[""I'm going to try sky diving this weekend"", ""I wouldn't do it if I were you"", ""It's sounds like fun"", ""It's very dangerous , you know"", 'I want to try something exciting', ""It's an easy way to get hurt , let me tell you"", ""I'll tell you all about it next Monday"", ""Well , take care of yourself , and don't say I didn't warn you""]","[4, 0, 4, 0, 4, 0, 4, 0]"
"['I visited the famous variety show host , Dennis', ""What's he like"", ""Oh , he's a very serious person"", 'You must feel very uneasy at his home']","[0, 0, 0, 0]"
"['Why do you go fishing so often', ""It's fun""]","[0, 4]"
"['What are the good sights to see in Beijing', ""Well , I know you are interested in architecture , so you should't miss the Temple of Heaven , and the Great wall is a must too""]","[0, 0]"
"[""I'm sorry , but I can't come to your party"", 'What a shame']","[0, 0]"
"['In my wedding ceremony , where do my parents sit in the church', ""The bride's parents ' seating arrangement is on the left side of the aisle and the groom's parents is on the right side"", 'Do friends of the bride always sit on one side of the church and friends of the groom on the other', 'They usually do']","[0, 0, 0, 0]"
"['How may I help you', 'I want to return this video', 'Is that all you need', 'I also need to check this magazine out', 'You ’ re not allowed to do that', 'I don ’ t understand', 'It ’ s our policy', 'What can I check out', 'Only books or videos', 'I need this magazine', 'You will have to read it here', 'That ’ s weird']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]"
"['Such bad luck , 200 yuan was stolen by a thief on the bus today', ""Don't be angry , you lose money just to avoid misfortune"", 'Well , you can just comfort yourself like that']","[0, 0, 0]"
"['That was heaven', 'The sea water treatments are supposed to be really good for you', 'Really', 'But the water has to be kept at 34 degrees so that the minerals can be absorbed by your body', 'Well , whatever it does , I feel transformed']","[4, 4, 2, 0, 4]"
"['You got a letter in the mail', 'Give it to me', 'What is it', 'It ’ s from NYU', 'What does it say', 'I didn ’ t get accepted', 'You can ’ t be serious', 'I ’ m serious', 'Are you all right', 'NYU was my first choice', 'I ’ m sorry that you didn ’ t get in', 'I ’ ll just have to wait for UCLA']","[0, 0, 0, 0, 0, 0, 6, 0, 0, 5, 5, 0]"
"['Where is your native place', 'My native place is Shanghai , which is a very beautiful cosmopolitan city', 'So are you a local', 'Yes , I am a local resident']","[0, 0, 0, 0]"
"['What ’ re you doing now', 'I ’ m watching TV', 'You ’ re supposed to clean your teeth before you go to bed', 'I will', 'And don ’ t ever forget it']","[0, 0, 0, 0, 0]"
"['My mother likes to split hairs', 'What do you mean by that', 'She has keen to buy something which is much cheaper', 'Mothers like that']","[0, 0, 0, 0]"
"['May I have a word with you', 'Certainly', 'When will you be free', 'Come by any time', ""Shall I say around ten o'clock"", ""Yes , I'll be waiting for you in my home by 10:00""]","[0, 0, 0, 0, 4, 4]"
"['I really dislike reading academic books', 'That may be so , but reading them is an important way to expand your knowledge']","[2, 0]"
"['Are you alright , child', 'Hey , I still know my name', 'What did the nurse say', 'She said I have a fever but nothing major', 'In that case , you should go home and get plenty of rest', 'What if this small fever turns into a big fever', ""Then I'll phone our family physician and make an appointment for you""]","[0, 0, 0, 0, 0, 0, 0]"
"['Peter and Mary broke up', 'Are you serious']","[0, 0]"
"[""I'm terribly nervous"", 'Calm down']","[3, 0]"
"['Tony looks very handsome in the suit', 'He prefers suits to jackets', ""Judge from his look , he's a very serious person"", 'As a matter of fact , he is']","[4, 4, 0, 0]"
"['You and Bob have finished', 'Yes', 'Are you going to be okay', ""Yes , I'm used to being on my own""]","[0, 0, 0, 0]"
"['Tony looks very handsome in the suit', 'He prefers suits to jackets', ""Judge from his look , he's a very serious person"", 'As a matter of fact , he is']","[4, 4, 0, 0]"
"['Hello , Mary', 'Hello , Brian', 'Here is my friend Bob', 'Hello , Bob']","[0, 0, 0, 0]"
"['Are you free tonight', 'Depends']","[0, 0]"
"['What can I do for you', 'I ’ m returning these books', 'Let me have them', 'Here are all of them', 'These books are two weeks late', 'I didn ’ t have time to return them', 'You ’ re going to have to pay late fees', 'How much', '25 cents a day', '25 cents a day', 'That means 25 cents for each late book', 'That ’ s expensive']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6]"
"[""How's the weather today"", ""It's cloudy"", 'Is it going to rain today', 'I doubt it', 'But I heard it might rain']","[0, 0, 0, 0, 0]"
"['My friend George has been to Switzerland twice', 'Does he like that country', 'Yes , he likes the people and the quietness there', 'Would you ask him to tell us more about the country']","[0, 0, 0, 0]"
"['Do you mind if I get a lift in your car , please', 'I don ’ t see any problem , only the car is a bit old', 'Oh you ’ re so kind', 'Get in']","[0, 0, 4, 4]"
"['Hi , Zhengjun , what make you so happy', ""You know what , I've just got a new job with a computer company"", 'Oh , congratulations']","[4, 4, 4]"
"[""What's your favorite sport"", ""Basketball , I'm a basketball fan""]","[0, 0]"
"['Can I see your parents some time tomorrow', 'Sorry , they are too busy these days', 'How about this weekend', 'Yes , I think so']","[0, 0, 0, 0]"
"['Happy Thanksgiving', 'You , too', ""Let's have pumpkin pie"", ""It's my favorite""]","[4, 4, 4, 4]"
"['I went bungee jumping yesterday', 'That sounds like fun']","[4, 4]"
"['We have absolute proof that you committed the crime', ""That's absolutely ridiculous""]","[0, 1]"
"['There ’ s a letter here for you', 'Let me see it', 'What ’ s the letter about', 'It ’ s a letter from NYU', 'Tell me what it says', 'I didn ’ t get in', 'You ’ re lying', 'I ’ m not lying', 'Are you upset', 'I had high hopes for NYU', 'I ’ m sorry you didn ’ t get accepted', 'Hopefully , I ’ ll get accepted to UCLA']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0]"
"[""Let's do something really nice for our family this Christmas"", 'What did you have in mind', ""I don't know yet"", 'I just know I want to get out of the mindless gift trap', 'I know what you mean', 'I want to give a gift that is really meaningful', 'Or do something that shows we have spent time thinking about them', 'Or what only we are able to give them']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Mary is really a diligent girl', 'What do you mean', 'She learns to speak Latin by osmosis within three months', 'She is really something']","[4, 0, 0, 4]"
"['Where would you like to have your dinner', ""I don't care as long as it's a Chinese restaurant"", ""You don't like Western food"", 'I really find Chinese dishes more to my taste']","[0, 0, 0, 0]"
"['How annoying', ""What's the matter"", 'Every time I try to start this program , the computer freezes', ""Maybe there's something wrong with the program""]","[1, 0, 0, 0]"
"[""Your husband is very helpful , isn't he"", 'Willing to help , maybe , but not as helpful as you think', 'Really', 'Last night he told the children acliff-hangerstory and both of them were scared out of sleep']","[0, 0, 6, 0]"
"[""Doesn't she have any friends"", 'If she has , they must be fair-weather friends', 'Such friends are even worse than enemies', ""She'd better keep away from them""]","[0, 0, 0, 0]"
"[""Let me get last week's notes"", ""Yeah , sure , you didn't come to class that day"", ""I couldn't come"", 'Why not', ""I wasn't feeling well"", 'Here they are', 'Thanks a lot ; are these all the notes', 'Oh , no , this is the rest', 'Thank you very much', ""It's no problem at all""]","[0, 0, 0, 0, 0, 0, 0, 0, 4, 4]"
"['I wonder if you agree that money is not happiness', ""I don't entirely agree with you"", 'Then how do you explain so many rich people committing suicide', ""Well , that's a thing""]","[0, 0, 0, 0]"
"['Did you pass the test', ""No , I didn't"", ""I'm sorry to hear that""]","[0, 5, 0]"
"[""I've got a complaint about the noise next door"", ""Yes , it's most irritating"", ""Some people aren't very considerate"", ""We're going to do something about it"", 'Yes , I think so', ""We can't put up with it any more"", ""We'll play the CD loud , is that all right"", ""I don't think so"", 'What should we do', ""Why don't we call them"", 'Good idea']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Do you think people still have faith in the government', 'I don ’ t think so', 'Why is that', 'The government will never fulfill their promise', 'So it is no wonder people cannot keep faith with it']","[0, 0, 0, 0, 0]"
"[""I've just had an argument with Bob"", 'Really , who started the argument', ""He did and it's his entire fault"", 'Did you know it takes two to tango']","[0, 0, 0, 0]"
"['Give me a call tomorrow', 'Okay']","[0, 0]"
"['Would you mind if I ask you whether you are married or not', ""To be frank , I was married once , and now I'm single"", 'Do you mean you got a divorce', 'Yes , my first marriage was a failure']","[0, 0, 0, 0]"
"['What a bother having to climb storeys home every day', ""But it's also a sort of exercise and it's good to your health"", ""I don't care"", ""You're complaining again""]","[2, 0, 2, 0]"
"[""What do people usually do on Saint Valentine's Day"", 'On that day , boys are supposed to give roses to their sweethearts', 'What will the girls do', 'They give chocolate in return']","[0, 0, 0, 0]"
"[""What's your favorite TV Program"", 'I like variety shows', 'I also like variety shows , but sometimes the host lacks a sense of humor', 'I prefer a variety show without a host']","[0, 0, 0, 0]"
"['How about a movie on Sunday , Mum', ""Well , I'm afraid your father's not interested in modern films"", 'We could find a classical one', 'That sounds fine']","[4, 0, 4, 4]"
"[""I'm going on a cruise this summer"", 'No kidding', ""My brother won a free trip and he's taking me"", ""You can't beat that""]","[0, 6, 0, 0]"
"['How do you feel', ""I'm nervous as can be""]","[0, 0]"
"['The teacher just canceled the test', 'Are you kidding']","[0, 6]"
"['What sort of things do you grow in your garden', 'I grow a variety of things , so that something is in bloom all year round', 'When is your garden at its best', 'It looks best in spring , when the plum and cherry blossoms are out']","[0, 0, 0, 0]"
"['What a great weekend that was', 'My feelings exactly', 'I really enjoy the beach in the summer', ""I couldn't agree with you more"", 'We should come here more often', 'You are absolutely right', ""I'd like to come back next weekend"", ""That's exactly the way I feel""]","[4, 4, 4, 4, 4, 4, 4, 4]"
"['Could you lend your bike to me for several days', 'How long would you like to keep it', 'Till the end of the week', ""Yes , that'd be all right""]","[0, 0, 0, 4]"
"['What will happen to the children if you break up', ""That's a relief for me and a misery for the children"", ""Why don't you make up with John"", ""It's too late""]","[0, 0, 0, 0]"
"['I don ’ t know why I married him', 'What is the matter', 'He never see eye to eye with me', 'That is to say , love is blind']","[0, 0, 0, 0]"
"['How many passengers are there aboard the ship', 'Seventy-six , I think']","[0, 0]"
"['Dalian is a beautiful city', 'Do you agree', 'I suppose I do', 'The climate here is pleasant', 'They use said it  This city is really comfortable to living', 'It sure is  No other city can match it', ""It's heaven"", 'Well , if you live in other as long enough you love them just as much', 'Maybe', ""That's for sure""]","[4, 0, 4, 0, 4, 0, 4, 0, 0, 0]"
"['Is there anything available for tonight', 'There are some seats in the rear mezzanine', ""Isn't there anything else available"", 'No , the show is almost sold out']","[0, 0, 0, 0]"
"['My uncle passed away last night', 'My condolences']","[5, 5]"
"[""How's business"", 'So so']","[0, 0]"
"['What a great weekend that was', ""My feeling's exactly"", 'I really enjoy the beach in the summer', ""I couldn't agree with you more"", 'We should come here more often', 'You are absolutely right', ""I'd like to come back next weekend""]","[4, 4, 4, 4, 4, 4, 4]"
"['What do you think of that situation comedies showed every weekend', ""To tell you the truth , I don't think much of them"", ""You're becoming a real television watcher"", 'A lot of people feel the same way']","[0, 0, 0, 0]"
"['What day is today', 'Today is December twenty-third , two thousand and two', 'Oh , The day after tomorrow is Christmas', 'Merry Christmas to you']","[0, 0, 0, 4]"
"['You ’ re new here , right', 'Yes , I am', 'Will this be your first year', 'No , I transferred here', 'What school did you come from', 'I transferred from PCC', 'Why ’ d you transfer here', 'I wanted to attend this school originally , but my grades out of high school weren ’ t good enough', 'Is PCC a good school', 'PCC is great', 'I hope you enjoy it here', 'Thank you very much']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4]"
"['Are you ready', 'Not yet']","[0, 0]"
"['Is this your brother-in-law', 'Yes , he married my sister ten years ago', ""From his looks , I'd say he's a man of character"", 'Yes , my sister loves his personality']","[0, 0, 0, 0]"
"['Our team just scored a goal', ""That's more like it"", 'Tell me about it', 'They might actually win the game']","[0, 0, 0, 0]"
"['Can you tell me something about financial aid', 'What exactly', 'How to apply for it', 'In your first letter , that is , when you apply for admission , you should also tell them you need their financial aid', 'Then', 'If the aid is available , they will give you two or more application forms , One is for admission , the others are for the aid', 'What if not', 'They will tell you the aid is impossible']","[0, 0, 0, 0, 0, 0, 0, 0]"
"[""Why aren't you at work"", 'I called in sick']","[0, 0]"
"['What would you like to do tonight', ""I'm not sure"", 'What about going to a movie', ""OK , let's go to the cinema to see what's on""]","[0, 0, 0, 0]"
"['Would you mind doing something for me', 'I would if I could', 'Would you please explain the meaning of the word', 'Yes , With pleasure']","[0, 4, 4, 4]"
"['I have an appointment for half past one', 'What can I help you with', 'Well , I have a problem with my class schedule', 'What is it', ""It seems that I've been given two classes scheduled at the same time"", 'I can understand the problem with that', 'Is there any way that you can fix my schedule', 'No problem , do you want those classes still', 'Yes , I do', 'Let me see if I can find one of these classes on another day', 'Thank you very much']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
"[""It's said that the government will clamp down on the new policy"", 'Are you sure of that', 'I am not certain about that', 'They may have some difficulty in doing it']","[0, 0, 0, 0]"
"['Could you help me', 'What do you need', ""I can't seem to find my class"", 'What building is it in', ""It's in the C building"", 'Oh , I know exactly where that is', 'Do you think you can tell me where it is', 'Sure , what room number is it', ""It's room number 261"", 'I have a class around there right now', 'Could you show me where it is', 'No problem , come on']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['How would you describe your relationship with our boss', 'We have a fairly good working relationship , but there was also a rough spot', 'What do you think his strengths are', 'Well , he has an amazing ability to analyze information and he is very good at making the right decision in tough situations']","[0, 0, 0, 0]"
"['Do you keep any pets , such as cats , dogs', ""No , I'm scared of cats"", 'Oh , but why', ""I feel they're dirty""]","[0, 3, 0, 0]"
"['Would you like to see our new shirts', 'Sorry , but I ’ m not really that interested in those things', 'Well , they are very nice you know', 'Really', 'And not expensive either', ""Oh , I don't care about that"", 'Everybody is buying them', 'Are they', 'Yes , they are very fashionable , you see', 'I am afraid I am not interested in fashion', 'I see', 'But thank you very much all the same', ""Sorry I couldn't help you""]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Thank you for letting me borrow your portable CD player', ""Oh , you're welcome""]","[4, 4]"
"[""Who's your favorite film star"", 'Tom Hanks is always my favorite film star', 'What films feature him', 'Many']","[0, 0, 0, 0]"
"['Are you working or are you a student', ""I'm a student"", 'Which school are you studying at', 'Tsinghua University']","[0, 0, 0, 0]"
"[""I'm here for my appointment"", 'What can I do for you today', 'I have an issue with my schedule', 'Tell me the problem', 'I have two classes on here that are at the same time', 'Oh , I see', 'Can you change that for me', 'Do you still want both classes', 'Yes , I would like to keep both classes', ""I'll try to change one to a different day"", 'I would greatly appreciate that']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
"['What are you guys doing', 'Just having a chat']","[0, 0]"
"[""I'm bored and got nothing to do tonight"", 'How about coming with me to meet my American friends', 'Hey , that sounds great', ""Okay , I'll pick you up at eight o'clock""]","[0, 4, 4, 4]"
"['Would you mind if I ask you whether you are married or not', ""To be frank , I was married once , and now I'm single"", 'Do you mean you got a divorce', 'Yes , my first marriage was a failure']","[0, 0, 0, 0]"
"['Did you bring some lunch with you', 'Yes , I packed it myself', 'Wow , that looks beautiful', ""It's my health-conscious lunch , good for my health and beauty"", 'I might try it myself']","[0, 4, 4, 4, 4]"
"['Can you name some festivals of religious nature', 'Yes , such as Christmas and Easter', 'What about historic festivals', 'Thanksgiving Day , Independence Day']","[0, 0, 0, 0]"
"[""Where's Bob"", ""It seems like he's not coming"", 'Can you give him a call on his mobile', 'Sure']","[0, 0, 0, 0]"
"['This small town has many serious problems', ""What's the cause"", 'The mayor and high officials practice cronyism and a large number of guys who are good at nothing occupy many important positions', 'I see why it lags behind other towns']","[0, 0, 0, 0]"
"['How may I help you', 'I need to return these books', 'Give them here', 'Here they are', 'It appears these books are two weeks late', 'I forgot they were due', 'You do realize you are going to have to pay late fees , right', 'How much is the late fee', 'The late fee is 25 cents a day', 'So I have to pay 25 cents for each day the books are late', 'It ’ s 25 cents for each book', 'That ’ s a lot of money']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 5]"
"[""Where's your hometown"", 'Shandong']","[0, 0]"
"['Bob is really handsome', ""That's why he's very popular among girls"", 'I wish I were just as handsome', 'You are']","[0, 0, 0, 0]"
"['What he said disappointed me', 'What did he say', 'He advised me to change to a more suitable course', 'Why', 'He said that career in law was unsuitable for a women', 'It is stupid to say so']","[0, 0, 0, 6, 0, 1]"
"['Professor , do you have a few moments when I could meet with you', 'I schedule my appointments from two to four on Saturday ; what works best for you', 'Three would be a good time', 'Great , do you need directions to my office', ""I'm not sure"", ""Well , just make sure to go through the double doors , and I'll be on the right"", ""OK , I'll find it"", ""It's very easy to find"", 'See you then', 'I will enjoy seeing you ; have a good week']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
"['The boy threw up', ""That's disgusting""]","[0, 2]"
"['I hope the host team loses', 'That all depends on how the visiting team shapes', 'According to the papers , the visiting side is a strong team in America', 'But two players of the team have been booked and one is out']","[0, 0, 0, 0]"
"['My accountant thinks she can save me lots of money on my taxes this year', 'That sounds great']","[0, 4]"
"['It is difficult for old people to do away with old ideas', 'So the reform can not be carried out well', 'The government is making efforts to change situation', 'Easier said than done']","[0, 0, 0, 0]"
"[""What's today's date"", ""It's January""]","[0, 0]"
"['How did you get into hip hop', 'Well , all my friends listen to it , so I became a big fan too', 'Who is your favorite hip hop artist', ""I'm a big fan of Snoop Dog""]","[0, 0, 0, 4]"
"['Charles , have you finished your homework', ""Not yet , Grandma , What's the matter"", 'I want you to have a walk with me', ""I'll finish soon""]","[0, 0, 0, 0]"
"['What does your mother do , may I ask', 'My mother works in a company as an accountant', 'Is she busy', ""Not always , she's rather busy at the end of the year""]","[0, 0, 0, 0]"
"['Many congratulations on your winning the game', 'That ’ s very kind of you , but it ’ s nothing special', 'You were doing great out there', 'Well , actually it ’ s just about luck']","[4, 4, 4, 4]"
"['How about the matter', 'I heard it has been finally settled under the rose', 'It ’ s the only way to preserve her reputation', 'Yeah , fortunately it did not cause a disaster']","[0, 0, 0, 0]"
"['See you later , alligator', 'In a while , crocodile']","[0, 0]"
"['How did you meet your boyfriend , Cindy', 'We were in the same science class last term', 'Who made the first move', 'I did', 'Wow', 'It was no big deal', 'What do your parents think of your dating a boy', ""They're glad that I finally got a boyfriend"", ""They're glad""]","[0, 0, 0, 0, 6, 0, 0, 0, 6]"
"['I hear that you are in love with Mike', 'You are kidding', ""Don't you hit it off"", ""Although we have many things in common , we'are not soul mates""]","[0, 6, 0, 0]"
"['What are you thinking about', 'About my boyfriend', 'Again', 'You are really a wet blanket']","[0, 0, 0, 0]"
"['Will you be okay when you immigrate to America', ""Sure , I'm looking forward to it"", 'What about your parents', ""I'll get used to not seeing my parents""]","[4, 4, 0, 0]"
"['When he told me I had to work overtime , that was it', 'The last straw , huh', ""Yes , he's really pushed me too far"", 'I know what you mean']","[0, 0, 0, 0]"
"['Paul sends you his regards', 'How nice of him']","[4, 4]"
"['This is my friend Jenny', ""What's her last name"", ""It's Snow"", 'What color are her eyes', ""They're blue"", 'What color is her hair', ""It's brown"", 'How old is she', ""She's 42""]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"[""Michael Jackson's coming to town"", ""I Couldn't care less""]","[0, 0]"
"['What did you say', 'I said he was nothing but a yeoman', 'Then he become angry with you', 'Yes']","[0, 0, 0, 0]"
"['Happy Anniversary , honey', 'I thought you had forgotten', 'After the trouble I got into last year , no way', 'Thank you honey , it means a lot to me']","[4, 4, 4, 4]"
"['Are you new here', 'This is my first day here', 'Are you a freshman in college', 'I started school somewhere else', 'What school did you transfer from', 'I started at PCC', 'What made you transfer', 'My grades weren ’ t good enough to go here', 'Did you like PCC', 'I loved PCC', 'Good luck here', 'I ’ m excited to be here']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4]"
"['What are your hobbies', 'Sports', 'Like what', 'Basketball and swimming']","[0, 0, 0, 0]"
"['Bob , how about joining the boxing club this summer vacation', 'What a good idea', ""So let's get registered tomorrow"", 'OK']","[0, 0, 0, 0]"
"[""I'm sure he was off-side"", ""But the ref didn't whistle"", 'I think he favors the host team', 'Anyway , the host team seems to fight for the gold']","[0, 0, 0, 0]"
"['What do you think of the former champ', 'There were some bad misses in his defence , so he lost it', 'No champion can remain at the top for ever', ""I suppose he's not in top form""]","[0, 0, 0, 0]"
"[""Let's take a coffee break"", 'Why not']","[4, 4]"
